review id,reviewer,star rating,review,date
grev-001,Maria Santos,5,Incredible coffee and the rewards program keeps me coming back every month. 10/10 would recommend to friends.,2025-10-03
grev-002,James T.,4,Great beans but the delivery took longer than expected. Still a solid subscription.,2025-10-17
grev-003,Priya K.,5,The single origin selection is outstanding. I can taste the difference compared to supermarket brands.,2025-11-02
grev-004,Anonymous User,2,Received the wrong order twice. Customer support was slow to respond.,2025-11-09
grev-005,Linda W.,5,My whole office is obsessed with the StarBrew blend. We upgraded to the office plan last week!,2025-11-20
grev-006,Carlos M.,3,Decent coffee but the loyalty app glitches when I try to redeem rewards. Needs a fix.,2025-11-28
grev-007,Sarah B.,5,Fresh roasts every time. The recycled packaging is a nice eco-friendly touch too.,2025-12-04
grev-008,David L.,4,Really love the variety. Only wish there were more decaf options in the seasonal rotation.,2025-12-11
grev-009,Anonymous User,1,Subscription charged twice this month. Still waiting on a refund after a week.,2025-12-14
grev-010,Yuki N.,5,Amazing quality and the barista tips newsletter is a delightful bonus. Loyal customer for life.,2025-12-19
